FechaCorte,Tipo de Sujeto,Nombre Completo,DUI,NIT,Fecha de Nacimiento,Sexo,Tipo de obligación,Moneda,Numero de Obligacion,Fecha de Otorgamiento,Fecha de Vencimiento,Periodo de Pago,Estado,Sub-estado,Numero Dias Mora,Valor Limite,Valor Saldo Total,Valor Mora Total,Valor Cuota,Tipo de Deudor,Tipo de Garantia,Fecha de Cancelacion,Calificacion
2024-08-31,F,Ismael Pacheco Carro,30252577-8,,1979-12-19,M,CON,USD,OBL-00012,2024-05-13,2028-05-13,QIN,VIG,VIG,0,10103,6769,0,37,DIR,FID,,A1
2024-08-31,F,Rosalva Vilar,48852312-4,,1969-08-10,F,TIC,USD,OBL-00013,2023-12-15,,VEN,VIG,VIG,0,18784,3468,0,123,DIR,FID,,A1
2024-08-31,F,Marcela Alemán Tenorio,73662917-5,,1967-12-20,F,CMZ,USD,OBL-00014,2023-10-06,2028-10-06,QIN,VIG,VIG,0,6376,1368,0,60,DIR,FID,,A1
2024-08-31,F,Bernardo Prats Azcona,74168587-2,,1974-11-23,M,CON,USD,OBL-00015,2023-10-31,2028-10-31,MEN,VIG,VIG,0,18355,15156,0,176,DIR,HIP,,A2
2024-08-31,F,Amaro Canals Muro,96663801-0,,1990-07-01,M,MIC,USD,OBL-00016,2023-09-28,2025-09-28,OTR,VIG,VIG,0,5168,1716,0,53,DIR,FID,,A1
2024-08-31,F,Nacio Gabaldón,97719694-5,,1995-10-08,M,CON,USD,OBL-00017,2023-11-08,2028-11-08,OTR,VIG,VIG,0,9440,5298,0,102,DIR,HIP,,A1
2024-08-31,F,Jacinta Casas Sans,78374109-7,,1990-01-21,F,CMZ,USD,OBL-00018,2024-05-16,2027-05-16,MEN,VIG,VIG,0,3382,631,0,172,DIR,AVA,,A1
2024-08-31,F,Agustina Dalmau Galiano,80888694-2,,1969-05-17,F,TDC,USD,OBL-00019,2024-06-07,,VEN,VIG,VIG,0,1067,871,0,158,DIR,FID,,A2
2024-08-31,F,Ligia Tena Hoz,56900677-6,,1996-03-04,F,CMZ,USD,OBL-00020,2024-06-08,2026-06-08,QIN,VIG,VIG,0,14676,6365,0,167,DIR,AVA,,A1
2024-08-31,F,Juan Luis del Roig,50728464-8,,1997-07-16,M,MIC,USD,OBL-00021,2024-03-11,2029-03-11,QIN,VIG,VIG,0,13039,1153,0,99,DIR,HIP,,A1
2024-08-31,F,Clemente Marin Robles,89991969-1,,1996-10-24,M,TDC,USD,OBL-00022,2024-03-08,,OTR,VIG,VIG,0,16209,4517,0,83,DIR,FID,,A1
2024-08-31,F,Nieves Parra Hernández,83569268-7,,2007-06-21,M,CMZ,USD,OBL-00023,2023-11-20,2026-11-20,OTR,VIG,VIG,0,15391,1901,0,31,DIR,AVA,,A1
2024-08-31,F,Milagros Cánovas-Soto,23227923-3,,1972-08-05,M,MIC,USD,OBL-00024,2024-06-17,2027-06-17,OTR,VIG,VIG,0,15886,9100,0,191,DIR,AVA,,A1
2024-08-31,F,María José Carreño-Cid,51596872-9,,1971-01-21,F,TDC,USD,OBL-00025,2023-09-18,,QIN,VIG,VIG,0,12094,3704,0,23,DIR,FID,,A1
2024-08-31,F,Pánfilo Cortina León,67641640-6,,1983-05-20,M,TIC,USD,OBL-00026,2024-04-01,,VEN,VIG,VIG,0,2287,1621,0,157,DIR,HIP,,A1
2024-08-31,J,Promociones Albero S.L.N.E,,7037-437180-623-9,,,TIC,USD,OBL-00027,2024-04-08,,QIN,VIG,VIG,0,14346,13648,0,140,DIR,FID,,A2
2024-08-31,F,Elena Madrigal-Perea,45948390-0,,1993-04-07,F,MIC,USD,OBL-00028,2024-02-07,2028-02-07,QIN,VIG,VIG,0,4331,1600,0,172,DIR,SGR,,A1
2024-08-31,F,María Cristina Guitart,77876077-3,,2007-09-12,F,TDC,USD,OBL-00029,2023-12-28,,VEN,VIG,VIG,0,12727,1065,0,55,DIR,AVA,,A1
2024-08-31,F,Amparo Jove Niño,64908891-2,,1983-10-13,M,CMZ,USD,OBL-00030,2023-09-17,2027-09-17,OTR,VIG,VIG,0,6578,1011,0,115,DIR,HIP,,A1
2024-08-31,F,Dimas Sanmiguel Coronado,97723820-9,,1980-08-12,M,TIC,USD,OBL-00031,2024-05-13,,VEN,VIG,VIG,0,15391,7519,0,82,DIR,AVA,,A1
2024-08-31,F,Aránzazu Esteban Cabrera,73727494-6,,1980-05-22,M,CON,USD,OBL-00032,2023-11-15,2026-11-15,MEN,VIG,VIG,0,4791,1793,0,95,DIR,AVA,,A1
2024-08-31,F,Bernabé del España,48906059-9,,1997-12-07,M,TIC,USD,OBL-00033,2024-03-17,,OTR,VIG,VIG,0,9549,8124,0,60,DIR,AVA,,A2
2024-08-31,F,Fabricio Bello Pozo,39693513-5,,1971-05-10,M,MIC,USD,OBL-00034,2024-01-29,2029-01-29,MEN,VIG,VIG,0,17152,7294,0,128,DIR,HIP,,A1
2024-08-31,F,María Teresa Mas,26347616-4,,1999-04-08,F,TIC,USD,OBL-00035,2024-03-07,,VEN,VIG,VIG,0,1175,660,0,33,DIR,SGR,,A1
2024-08-31,F,Fabiola Amat Arcos,20746065-8,,1969-11-09,F,TIC,USD,OBL-00036,2023-12-20,,QIN,VIG,VIG,0,7981,4433,0,46,DIR,SGR,,A1
2024-08-31,F,Evaristo Palomo-Cañellas,72437722-8,,1991-04-24,M,CMZ,USD,OBL-00037,2023-11-16,2028-11-16,VEN,VIG,VIG,0,16318,10263,0,111,DIR,HIP,,A1
2024-08-31,J,Despacho Castellanos S.L.,,6571-690327-480-6,,,MIC,USD,OBL-00038,2023-12-16,2028-12-16,OTR,VIG,VIG,0,4901,4609,0,185,DIR,FID,,A2
2024-08-31,F,Samuel Vargas Guzman,53573413-1,,1990-01-19,M,MIC,USD,OBL-00039,2024-06-12,2027-06-12,QIN,VIG,VIG,0,17511,5306,0,161,DIR,FID,,A1
2024-08-31,F,Fidel Martin Duarte,42617758-5,,1973-06-05,M,CON,USD,OBL-00040,2023-12-19,2027-12-19,VEN,VIG,VIG,0,15197,8544,0,31,DIR,HIP,,A1
2024-08-31,F,Octavio Azcona Palma,65325835-3,,1988-02-07,M,TIC,USD,OBL-00041,2023-10-08,,MEN,VIG,VIG,0,17160,2464,0,142,DIR,HIP,,A1
2024-08-31,F,Josefa Cuervo Manzano,35334385-7,,1997-07-22,F,TDC,USD,OBL-00042,2024-03-31,,MEN,VIG,VIG,0,2182,1689,0,160,DIR,FID,,A1
2024-08-31,J,Logística Rosado & Asociados S.L.,,7778-372038-108-2,,,TDC,USD,OBL-00043,2024-05-20,,MEN,VIG,VIG,0,6078,1854,0,22,DIR,SGR,,A1
2024-08-31,F,Laura Hoyos Páez,19320185-3,,1996-09-23,F,CON,USD,OBL-00044,2023-11-07,2027-11-07,VEN,VIG,VIG,0,15375,893,0,194,DIR,SGR,,A1
2024-08-31,F,Cruz de Agustín,88141308-3,,1990-01-17,M,TDC,USD,OBL-00045,2023-09-22,,OTR,VIG,VIG,0,13800,2101,0,102,DIR,FID,,A1
2024-08-31,F,Ismael Oliver Fernandez,42535085-2,,1974-08-08,M,CMZ,USD,OBL-00046,2023-10-23,2028-10-23,QIN,VIG,VIG,0,15590,6379,0,186,DIR,SGR,,A1
2024-08-31,F,Amanda Amigó Cantón,26505598-2,,1965-08-08,F,MIC,USD,OBL-00047,2024-01-11,2026-01-11,VEN,VIG,VIG,0,18413,17386,0,73,DIR,FID,,A2
2024-08-31,F,Griselda Belén Tomas Osorio,94718440-6,,1971-10-26,F,CMZ,USD,OBL-00048,2024-01-13,2029-01-13,MEN,VIG,VIG,0,19993,4103,0,110,DIR,SGR,,A1
2024-08-31,F,Nerea Olivia Cañellas Padilla,34384973-2,,1990-06-24,F,CMZ,USD,OBL-00049,2024-04-16,2029-04-16,VEN,VIG,VIG,0,6959,6569,0,151,DIR,AVA,,A2
2024-08-31,F,Narcisa Franco Castelló,87859348-3,,1983-11-11,F,MIC,USD,OBL-00050,2024-06-22,2028-06-22,MEN,VIG,VIG,0,8612,683,0,51,DIR,AVA,,A1
2024-08-31,F,Roxana Eufemia Anaya Viana,87387689-0,,1997-11-27,F,TIC,USD,OBL-00051,2023-10-09,,MEN,VIG,VIG,0,4462,3134,0,141,DIR,HIP,,A1
2024-08-31,F,Graciana Mateos,22553582-2,,1968-08-03,F,MIC,USD,OBL-00052,2023-11-11,2025-11-11,OTR,VIG,VIG,0,18241,5596,0,193,DIR,FID,,A1
2024-08-31,F,Ovidio del Corominas,64303471-1,,1965-05-23,M,CON,USD,OBL-00053,2024-03-28,2026-03-28,OTR,VIG,VIG,0,9462,4028,0,71,DIR,SGR,,A1
2024-08-31,F,Fabricio Cristian Montero Lerma,21544733-1,,2001-03-12,M,MIC,USD,OBL-00054,2024-05-12,2028-05-12,MEN,VIG,VIG,0,10810,10805,0,120,DIR,HIP,,A2
2024-08-31,F,Rosalina Gallo Diéguez,13462170-4,,1991-12-24,F,CON,USD,OBL-00055,2024-06-13,2029-06-13,VEN,VIG,VIG,0,15798,9969,0,38,DIR,AVA,,A1
2024-08-31,F,Chuy Lobato Carmona,43525694-5,,1981-07-16,M,MIC,USD,OBL-00056,2024-06-10,2029-06-10,VEN,VIG,VIG,0,16852,15586,0,62,DIR,SGR,,A2
2024-08-31,J,Familia Moya S.L.N.E,,9936-769698-578-9,,,CMZ,USD,OBL-00057,2024-05-03,2029-05-03,MEN,VIG,VIG,0,7426,3164,0,56,DIR,SGR,,A1
2024-08-31,F,Adoración de Álvaro,40211121-8,,1973-12-03,M,TDC,USD,OBL-00058,2024-06-21,,OTR,VIG,VIG,0,19654,4959,0,83,DIR,HIP,,A1
2024-08-31,F,Apolinar Leiva Valencia,19527669-7,,1984-10-25,M,CMZ,USD,OBL-00059,2023-12-11,2028-12-11,OTR,VIG,VIG,0,17673,11756,0,82,DIR,HIP,,A1
2024-08-31,F,Cecilio Moya Nuñez,63463685-7,,1981-09-08,M,TDC,USD,OBL-00060,2024-06-07,,OTR,VIG,VIG,0,12233,3544,0,85,DIR,AVA,,A1
2024-08-31,F,Fabiana Fábregas Porcel,26733975-1,,1993-12-12,F,TDC,USD,OBL-00061,2024-04-13,,OTR,VIG,VIG,0,9300,7304,0,70,DIR,AVA,,A1
2024-08-31,F,Chita Borja,89233112-0,,1981-04-26,F,MIC,USD,OBL-00062,2024-06-22,2027-06-22,MEN,VIG,VIG,0,15736,4060,0,160,DIR,SGR,,A1
2024-08-31,F,Rosalva Nicolasa Arrieta Dominguez,97341181-7,,1976-12-14,F,TDC,USD,OBL-00063,2023-11-07,,QIN,VIG,VIG,0,10728,6564,0,164,DIR,AVA,,A1
2024-08-31,F,Zoraida Arco-Ugarte,72760958-1,,1973-11-15,F,MIC,USD,OBL-00064,2023-12-01,2028-12-01,MEN,VIG,VIG,0,13806,10956,0,35,DIR,HIP,,A1
2024-08-31,F,Macario Codina,33918751-2,,1990-05-22,M,MIC,USD,OBL-00065,2024-04-15,2026-04-15,QIN,VIG,VIG,0,1611,1192,0,30,DIR,HIP,,A1
2024-08-31,F,Tecla Querol Maza,40810136-8,,1985-12-21,F,TDC,USD,OBL-00066,2024-06-07,,MEN,VIG,VIG,0,8688,657,0,126,DIR,AVA,,A1
2024-08-31,F,Yéssica Bustamante Costa,30085744-5,,1985-06-09,F,CMZ,USD,OBL-00067,2023-11-03,2026-11-03,MEN,VIG,VIG,0,15810,1498,0,127,DIR,SGR,,A1
2024-08-31,F,Hector Barba Mateos,69711981-0,,1993-05-21,M,CON,USD,OBL-00068,2023-09-08,2027-09-08,VEN,VIG,VIG,0,5573,5342,0,151,DIR,HIP,,A2
2024-08-31,F,Salud Tamarit Saavedra,65641592-7,,1976-12-25,M,CMZ,USD,OBL-00069,2024-01-23,2029-01-23,OTR,VIG,VIG,0,8791,4395,0,106,DIR,SGR,,A1
2024-08-31,F,Violeta Nuñez-Fernández,25371588-3,,1990-11-27,F,MIC,USD,OBL-00070,2023-10-27,2028-10-27,OTR,VIG,VIG,0,12041,11718,0,53,DIR,FID,,A2
2024-08-31,F,Dorita Mónica Garcés Villalba,57501489-7,,1987-03-08,F,TDC,USD,OBL-00071,2023-11-19,,QIN,VIG,VIG,0,15657,9237,0,188,DIR,FID,,A1
2024-08-31,F,Dafne Giner Ferrando,65071071-5,,1991-04-22,M,CON,USD,OBL-00072,2023-09-06,2025-09-06,VEN,VIG,VIG,0,2861,1876,0,56,DIR,HIP,,A1
2024-08-31,F,Marcial Rosell Esparza,70393398-8,,1966-07-12,M,CMZ,USD,OBL-00073,2023-10-05,2026-10-05,VEN,VIG,VIG,0,17268,10778,0,198,DIR,AVA,,A1
2024-08-31,F,Ángeles Peláez-Lopez,59673975-9,,1997-04-14,M,CMZ,USD,OBL-00074,2023-10-02,2027-10-02,QIN,VIG,VIG,0,14399,6276,0,43,DIR,HIP,,A1
2024-08-31,F,Javi Pallarès Roldán,22212473-7,,1964-11-13,M,CON,USD,OBL-00075,2024-06-14,2027-06-14,VEN,VIG,VIG,0,8293,8160,0,165,DIR,HIP,,A2
2024-08-31,F,Clementina Céspedes-Artigas,73430797-8,,1981-10-05,F,TIC,USD,OBL-00076,2024-04-05,,MEN,VIG,VIG,0,10920,9808,0,96,DIR,SGR,,A2
2024-08-31,F,Juan José Pinto Boada,87196249-6,,1966-03-04,M,TIC,USD,OBL-00077,2024-04-09,,VEN,VIG,VIG,0,18265,3550,0,103,DIR,AVA,,A1
2024-08-31,F,Federico Manzano-Batalla,31660205-7,,1987-10-14,M,TDC,USD,OBL-00078,2024-01-12,,OTR,VIG,VIG,0,6157,2577,0,55,DIR,HIP,,A1
2024-08-31,J,Soluciones Llobet y asociados S.Coop.,,2087-282680-278-2,,,TIC,USD,OBL-00079,2023-09-25,,MEN,VIG,VIG,0,2165,1653,0,46,DIR,SGR,,A1
2024-08-31,F,Amado Cerezo Quintana,56025482-9,,2004-03-31,M,MIC,USD,OBL-00080,2023-11-15,2028-11-15,VEN,VIG,VIG,0,16954,7472,0,64,DIR,HIP,,A1
2024-08-31,J,Compañía Quirós & Asociados S.L.L.,,9980-335123-352-9,,,MIC,USD,OBL-00081,2024-04-14,2026-04-14,QIN,VIG,VIG,0,12038,2399,0,125,DIR,AVA,,A1
2024-08-31,F,Roldán Alberto Álamo,59064870-9,,1967-08-23,M,MIC,USD,OBL-00082,2023-10-26,2027-10-26,OTR,VIG,VIG,0,19040,9128,0,48,DIR,HIP,,A1
2024-08-31,F,Rosalinda Ximena Morata Valle,70640780-0,,2004-07-10,F,CMZ,USD,OBL-00083,2024-02-07,2027-02-07,QIN,VIG,VIG,0,3419,2696,0,79,DIR,HIP,,A1
2024-08-31,F,Agustín Cobos-Viñas,39347627-3,,1979-08-21,M,CON,USD,OBL-00084,2024-01-19,2029-01-19,VEN,VIG,VIG,0,10125,9051,0,39,DIR,AVA,,A2
2024-08-31,F,Azucena Saez Céspedes,46763800-1,,1998-09-18,F,CMZ,USD,OBL-00085,2024-02-29,2029-02-28,OTR,VIG,VIG,0,18151,2135,0,117,DIR,SGR,,A1
2024-08-31,J,Cano y asociados S.Coop.,,1979-500920-928-6,,,CMZ,USD,OBL-00086,2024-04-20,2026-04-20,OTR,VIG,VIG,0,18558,9625,0,22,DIR,AVA,,A1
2024-08-31,F,Encarnita Plana Vazquez,69984928-3,,1997-11-11,F,MIC,USD,OBL-00087,2024-06-25,2026-06-25,OTR,VIG,VIG,0,3489,3150,0,39,DIR,HIP,,A2
2024-08-31,F,Maricela Llano Peñalver,69960372-7,,1976-09-30,F,MIC,USD,OBL-00088,2024-03-21,2026-03-21,OTR,VIG,VIG,0,10123,5289,0,89,DIR,HIP,,A1
2024-08-31,F,Vilma Rico Vilar,33705710-2,,1984-06-01,F,CON,USD,OBL-00089,2023-10-10,2026-10-10,OTR,VIG,VIG,0,5207,781,0,96,DIR,SGR,,A1
2024-08-31,F,Félix Huguet,85313152-2,,1995-09-24,M,TIC,USD,OBL-00090,2024-03-03,,MEN,VIG,VIG,0,10282,2709,0,36,DIR,HIP,,A1
2024-08-31,F,Florencia Corral-Valenciano,22073281-1,,1988-06-14,F,CMZ,USD,OBL-00091,2024-04-24,2027-04-24,MEN,VIG,VIG,0,5432,4592,0,97,DIR,FID,,A2
2024-08-31,J,Fábrica SU S.L.L.,,7496-379777-473-3,,,MIC,USD,OBL-00092,2024-04-28,2028-04-28,QIN,VIG,VIG,0,8197,6131,0,142,DIR,SGR,,A1
2024-08-31,F,Leocadia Vanesa Millán Osuna,75060419-1,,2003-02-26,F,TIC,USD,OBL-00093,2023-10-16,,MEN,VIG,VIG,0,14766,9272,0,106,DIR,HIP,,A1
2024-08-31,F,Leocadio Nicodemo Giner Pinedo,34939241-5,,2007-09-06,M,CON,USD,OBL-00094,2024-06-27,2027-06-27,VEN,VIG,VIG,0,19203,7042,0,179,DIR,AVA,,A1
2024-08-31,F,Felipa de Leon,54972708-3,,1994-07-03,F,CON,USD,OBL-00095,2024-05-23,2029-05-23,OTR,VIG,VIG,0,19743,13653,0,46,DIR,HIP,,A1
2024-08-31,F,Paula Marí Arnau,80361770-1,,2006-05-22,F,MIC,USD,OBL-00096,2024-01-08,2029-01-08,MEN,VIG,VIG,0,5265,3059,0,87,DIR,AVA,,A1
2024-08-31,J,Servicios DG S.Coop.,,8183-229839-800-5,,,MIC,USD,OBL-00097,2023-11-22,2025-11-22,OTR,VIG,VIG,0,7454,6139,0,171,DIR,HIP,,A2
2024-08-31,F,Albano Montserrat Rosado,62823613-9,,1991-11-04,M,CMZ,USD,OBL-00098,2023-09-18,2025-09-18,OTR,VIG,VIG,0,2053,1801,0,147,DIR,AVA,,A2
2024-08-31,F,Juanita Cózar,33726634-3,,2003-02-26,F,CMZ,USD,OBL-00099,2023-09-15,2027-09-15,MEN,VIG,VIG,0,4061,1000,0,163,DIR,AVA,,A1
2024-08-31,F,Baudelio Romeu Egea,37571657-6,,1995-09-07,M,TIC,USD,OBL-00100,2023-09-03,,OTR,VIG,VIG,0,1658,1310,0,165,DIR,HIP,,A1
2024-08-31,F,Clímaco Juárez-Fuster,34358086-3,,1996-08-06,M,CON,USD,OBL-00101,2023-10-18,2028-10-18,VEN,VIG,VIG,0,19103,5868,0,95,DIR,HIP,,A1
2024-08-31,F,Germán Abril Gibert,98435618-4,,1993-03-29,M,MIC,USD,OBL-00102,2024-01-25,2028-01-25,QIN,VIG,VIG,0,16225,5609,0,32,DIR,SGR,,A1
2024-08-31,F,Cirino Sotelo-Herrero,67727305-2,,1975-01-22,M,TDC,USD,OBL-00103,2023-10-19,,VEN,VIG,VIG,0,7645,5952,0,45,DIR,SGR,,A1
2024-08-31,F,Ana Belén del Pombo,46152285-1,,1971-02-08,F,TDC,USD,OBL-00104,2023-10-12,,MEN,VIG,VIG,0,11865,11826,0,173,DIR,HIP,,A2
2024-08-31,F,Germán Calvo Amigó,39318182-2,,1972-10-21,M,MIC,USD,OBL-00105,2023-09-29,2025-09-29,MEN,VIG,VIG,0,15465,13538,0,162,DIR,AVA,,A2
2024-08-31,J,Ángeles Barrios Ayuso S.L.L.,,1135-691685-594-3,,,TDC,USD,OBL-00106,2024-04-27,,OTR,VIG,VIG,0,15807,7222,0,129,DIR,FID,,A1
2024-08-31,F,Baltasar Galan-Pedro,77507641-3,,1965-04-09,M,CMZ,USD,OBL-00107,2024-02-23,2026-02-23,VEN,VIG,VIG,0,10702,7046,0,84,DIR,HIP,,A1
2024-08-31,F,Beatriz Arrieta Prado,52569287-9,,1994-08-05,M,MIC,USD,OBL-00108,2024-06-10,2026-06-10,MEN,VIG,VIG,0,13936,1021,0,143,DIR,HIP,,A1
2024-08-31,F,Vera Lastra Iglesias,70577987-3,,2003-08-06,F,CON,USD,OBL-00109,2023-09-23,2028-09-23,VEN,VIG,VIG,0,5937,3682,0,91,DIR,AVA,,A1
2024-08-31,F,Aristides Santana Muro,15802370-3,,1973-09-02,M,TIC,USD,OBL-00110,2023-12-05,,QIN,VIG,VIG,0,19171,9698,0,182,DIR,FID,,A1
2024-08-31,J,Talleres Carlos & Asociados S.L.N.E,,5390-691580-813-4,,,TDC,USD,OBL-00111,2024-05-19,,MEN,VIG,VIG,0,14070,11097,0,38,DIR,HIP,,A1
2024-08-31,F,Yolanda Inés Navas Páez,25017176-4,,1983-01-21,F,CMZ,USD,OBL-00112,2024-02-13,2028-02-13,OTR,VIG,VIG,0,6171,1996,0,35,DIR,FID,,A1
2024-08-31,F,Eugenia Purificación Juan Torrens,29230432-5,,2002-01-26,F,CMZ,USD,OBL-00113,2024-05-21,2026-05-21,MEN,VIG,VIG,0,1669,1631,0,161,DIR,AVA,,A2
2024-08-31,F,Juan Pablo Franch Muñoz,77015565-8,,1976-08-09,M,TDC,USD,OBL-00114,2024-04-29,,MEN,VIG,VIG,0,14212,3938,0,120,DIR,FID,,A1
2024-08-31,F,Itziar Armida Cerezo Pascual,46139034-8,,2003-01-07,M,MIC,USD,OBL-00115,2023-10-31,2026-10-31,OTR,VIG,VIG,0,5829,557,0,100,DIR,FID,,A1
2024-08-31,J,Roura y Tejera S.A.,,7018-395236-576-7,,,CMZ,USD,OBL-00116,2024-04-05,2028-04-05,OTR,VIG,VIG,0,5836,2257,0,194,DIR,AVA,,A1
2024-08-31,F,Edu de Gisbert,17903030-8,,2001-01-31,M,CMZ,USD,OBL-00117,2024-05-18,2026-05-18,QIN,VIG,VIG,0,19887,8869,0,141,DIR,AVA,,A1
2024-08-31,F,Paz Herrero Cabañas,80774391-7,,1978-11-06,M,CON,USD,OBL-00118,2023-10-01,2028-10-01,QIN,VIG,VIG,0,7639,7524,0,114,DIR,SGR,,A2
2024-08-31,F,Ruy del Raya,27917666-4,,2005-04-17,M,CON,USD,OBL-00119,2024-05-15,2026-05-15,VEN,VIG,VIG,0,19803,12689,0,30,DIR,AVA,,A1
2024-08-31,F,Lorenza Ramos-Roldan,91709709-4,,1976-02-25,F,TDC,USD,OBL-00120,2024-06-21,,MEN,VIG,VIG,0,13684,11143,0,173,DIR,FID,,A2
2024-08-31,F,Alfredo Carlos Briones,44509874-8,,1972-07-11,M,TDC,USD,OBL-00121,2024-03-09,,OTR,VIG,VIG,0,19678,7692,0,142,DIR,FID,,A1
2024-08-31,F,Tiburcio Marquez Casanova,64044474-9,,1995-03-19,M,TDC,USD,OBL-00122,2024-01-29,,MEN,VIG,VIG,0,17608,7766,0,39,DIR,AVA,,A1
2024-08-31,F,Gaspar Alcázar Valenzuela,92894060-4,,1979-10-09,M,CMZ,USD,OBL-00123,2023-09-10,2025-09-10,VEN,VIG,VIG,0,7525,5052,0,83,DIR,SGR,,A1
2024-08-31,J,Construcción YZ S.A.,,2010-919129-190-2,,,MIC,USD,OBL-00124,2023-12-08,2025-12-08,VEN,VIG,VIG,0,14098,11430,0,192,DIR,SGR,,A2
2024-08-31,F,Ani Vendrell Román,70177592-2,,1979-08-14,M,MIC,USD,OBL-00125,2024-05-15,2026-05-15,VEN,VIG,VIG,0,8445,6381,0,158,DIR,AVA,,A1
2024-08-31,J,Familia Pujadas S.L.L.,,3300-717879-987-9,,,MIC,USD,OBL-00126,2023-10-11,2026-10-11,VEN,VIG,VIG,0,11081,10103,0,114,DIR,HIP,,A2
2024-08-31,J,Grupo Morán S.A.T.,,3922-372438-230-3,,,TIC,USD,OBL-00127,2024-02-04,,QIN,VIG,VIG,0,11157,9317,0,95,DIR,AVA,,A2
2024-08-31,F,Clotilde Serna Mayol,23022262-8,,1995-09-27,M,MIC,USD,OBL-00128,2024-04-29,2028-04-29,QIN,VIG,VIG,0,18866,12090,0,99,DIR,SGR,,A1
2024-08-31,F,Miriam Botella-Yáñez,87054176-2,,1997-11-12,M,TDC,USD,OBL-00129,2024-02-12,,MEN,VIG,VIG,0,7940,3694,0,155,DIR,HIP,,A1
2024-08-31,F,Isabela Aramburu,80730415-4,,1976-05-24,F,CON,USD,OBL-00130,2024-01-16,2026-01-16,OTR,VIG,VIG,0,2871,2442,0,89,DIR,SGR,,A2
2024-08-31,F,Pilar Batalla Morales,79447204-8,,1979-06-07,M,TIC,USD,OBL-00131,2024-07-01,,QIN,VIG,VIG,0,6896,2108,0,48,DIR,FID,,A1
2024-08-31,F,Alejandro Reig,82729956-8,,1973-08-17,M,CON,USD,OBL-00132,2024-01-03,2026-01-03,MEN,VIG,VIG,0,17665,9601,0,27,DIR,FID,,A1
2024-08-31,F,Bernabé Naranjo,70489927-6,,1974-07-22,M,TDC,USD,OBL-00133,2024-01-29,,OTR,VIG,VIG,0,1957,1507,0,190,DIR,AVA,,A1
2024-08-31,F,Carolina Luciana Haro Perez,29148627-8,,1998-01-29,F,MIC,USD,OBL-00134,2024-06-07,2027-06-07,QIN,VIG,VIG,0,10687,3262,0,36,DIR,SGR,,A1
2024-08-31,F,Manu Tejera,97300625-3,,1967-07-26,M,TIC,USD,OBL-00135,2024-01-17,,QIN,VIG,VIG,0,8042,4669,0,158,DIR,FID,,A1
2024-08-31,F,Ana Olivera Baeza,77661083-0,,1976-02-24,F,TDC,USD,OBL-00136,2024-01-02,,QIN,VIG,VIG,0,13424,2700,0,45,DIR,HIP,,A1
